,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,12.117525,-65.209305,42.90718,-30.861256,4.3764906,-5.2250915,-9.748691,-1.2116368,-8.126539,4.66383,-0.23466706,-19.46857,23.218395,-19.184723,12.32144,-11.252986,-5.4660864,-15.605264,3.864993,-9.922373,-7.801961,-7.984814,-3.9429996,1.0036364,-7.2243786,-13.4768715,-4.7568207,2.5417738
1,0.46597302,-74.311386,38.373085,-46.553085,1.269506,-4.017743,-12.995722,-2.5129008,-14.538643,12.84955,1.2970457,-26.104347,27.475266,-39.419823,9.955182,-1.2926006,-1.08599,-19.494476,4.9043465,-18.791954,-4.4045234,-2.817809,-1.717303,2.0524654,-7.3499117,-7.0047474,1.6303368,4.416731
2,36.96046,-49.88864,21.854675,-34.89583,11.05284,2.616015,-4.0807805,-9.603101,-22.312363,20.557528,6.093835,-19.483452,33.231216,-43.671402,2.5330796,6.903171,-4.312293,-32.1043,19.791449,-8.631327,-18.108318,2.1310399,-4.0673995,0.5001035,-4.4782495,-5.804631,-6.6557746,8.227054
3,16.455063,-75.36189,42.54345,-41.544704,9.405862,-9.031498,-11.608345,-0.44069147,-10.999874,5.7661877,1.4853154,-19.762148,20.173584,-28.576054,11.129235,-5.607095,0.067877054,-20.439653,3.849553,-16.67894,-7.279023,-6.0355215,0.36867952,2.6793928,-9.378136,-10.447229,-0.34583616,4.3679075
4,14.026791,-69.96982,29.591698,-54.07292,8.750581,-5.518526,-9.7843,-4.990321,-13.083053,15.548029,-0.7145997,-21.956373,26.2276,-45.590256,7.8082504,2.4069757,1.1469066,-23.363005,10.128402,-18.588388,-2.332972,-0.34271574,-2.3660905,0.5359545,-8.528223,-2.348878,0.50601244,3.8552604
5,34.371525,-47.74012,26.826374,-31.271503,12.319746,10.527449,-10.329159,-6.7663016,-7.998377,10.493544,-1.1755134,-12.161162,25.895216,-33.620716,3.90383,-5.89924,-4.910328,-15.805612,11.0845585,-15.499515,-4.629174,-5.604512,-4.8941607,2.4092073,-9.142057,-0.21075153,-0.2256167,-3.942971
6,12.461421,-72.87958,40.442814,-41.588867,-2.026672,0.18096545,-15.648151,-1.8408027,-13.1307,9.20998,1.1956508,-24.560127,24.412762,-36.044983,10.753761,-3.0380878,-0.22570121,-19.561916,3.812621,-18.218931,-3.9482107,-9.281488,3.940474,-1.1422076,-5.0613747,-10.348431,0.9224434,5.4255867
7,23.212566,-55.983765,22.62967,-52.905823,1.346045,10.864111,-5.815641,-5.3755603,-23.88235,24.669266,2.973089,-24.796318,21.747831,-50.28708,12.4402685,8.754913,-0.06993276,-31.575478,21.993572,-16.44191,-5.2042265,3.8417296,-5.9677787,-3.5674872,-5.544981,-3.2986784,-4.458028,3.7929587
8,36.528618,-45.19241,32.282204,-26.744871,4.29051,5.5462275,-0.090810776,-6.0490522,-11.654549,6.384847,-9.132872,-11.203295,19.188967,-28.318985,14.004881,-4.911029,-5.7260265,-15.521673,8.216835,-16.90062,-4.430178,2.5154684,-2.7154727,-5.6629753,-8.987331,-7.163392,-2.937348,-3.1679182
9,23.899738,-66.726654,39.307762,-42.3981,0.7810478,-3.9156232,-11.508512,-4.9647193,-17.009388,15.903858,-5.63977,-14.911777,20.698368,-39.639683,10.848516,-1.1202164,-0.75747573,-19.597673,6.7819576,-21.949974,-1.4177673,-7.2816696,2.9776654,-1.0590715,-6.7759056,-5.1082387,0.40662718,3.244205
